Němčina;Čeština;Profese
das Lama;lama;obecné
das Haus;dům;obecné
der Hund;pes;obecné
die Katze;kočka;obecné
das Buch;kniha;obecné
der Tisch;stůl;obecné
die Blume;květina;zahradník
das Auto;auto;automechanik
der Baum;strom;zahradník
die Schule;škola;učitel
der Schreibtisch;psací stůl;kancelář
der Stuhl;židle;kancelář
der Computer;počítač;kancelář
der Monitor;monitor;kancelář
die Tastatur;klávesnice;kancelář
die Maus;myš;kancelář
das Dokument;dokument;kancelář
das Formular;formulář;kancelář
das Büro;kancelář;kancelář
der Drucker;tiskárna;kancelář
der Scanner;skener;kancelář
der Kopierer;kopírka;kancelář
der Aktenschrank;kartotéka;kancelář
das Regal;regál;kancelář
das Telefon;telefon;kancelář
die E-Mail;e-mail;kancelář
die Besprechung;porada;kancelář
das Notebook;notebook;kancelář
der Papierkorb;koš;kancelář
das Whiteboard;tabule;kancelář
der Chef;šéf;obecné
die Kollegin;kolegyně;kancelář
der Kollege;kolega;kancelář
das Meeting;schůzka;kancelář
der Projektor;projektor;kancelář
die Präsentation;prezentace;kancelář
die Einladung;pozvánka;obecné
der Termin;termín;obecné
das Homeoffice;home office;kancelář
die Entscheidung;rozhodnutí;obecné
das Projekt;projekt;obecné
die Priorität;priorita;obecné
das Feedback;zpětná vazba;obecné
der Entwurf;návrh;kancelář
der Status;stav;kancelář
die Kosten;náklady;obecné
das Team;tým;obecné
die Unterlagen;podklady;kancelář
die Deadline;termín (uzávěrka);obecné
die Zusammenarbeit;spolupráce;obecné
die Pause;přestávka;obecné
die Kantine;jídelna;obecné
der Schrank;skříň;obecné
die Tür;dveře;obecné
das Fenster;okno;obecné
die Lampe;lampa;obecné
das WC;záchod;obecné
die Umkleide;šatna;obecné
die Schicht;směna;obecné
die Frühschicht;ranní směna;obecné
die Spätschicht;odpolední směna;obecné
die Nachtschicht;noční směna;obecné
die Tagschicht;denní směna;obecné
der Schichtplan;plán směn;obecné
die Arbeitszeit;pracovní doba;obecné
die Teilzeit;zkrácený úvazek;obecné
die Vollzeit;plný úvazek;obecné
die Gleitzeit;pružná pracovní doba;obecné
der Dienstplan;rozpis služeb;obecné
der Urlaub;dovolená;obecné
der Feiertag;svátek;obecné
die Krankmeldung;nahlášení nemoci;obecné
die Vertretung;zástup;obecné
der Spind;skříňka;obecné
die Erste Hilfe;první pomoc;obecné
